City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Arraial Do Cabo,BR,2022-04-21 17:35:46,-22.9661,-42.0278,80.56,65,20,6.91
126,Voh,NC,2022-04-21 17:37:57,-20.9667,164.7,68.43,88,9,3.42
127,Torbay,CA,2022-04-21 17:35:31,47.6666,-52.7314,47.75,53,40,24.16
128,Krasnoye-Na-Volge,RU,2022-04-21 17:37:57,57.5125,41.2419,42.12,62,3,6.67
129,Geraldton,AU,2022-04-21 17:37:57,-28.7667,114.6,68.41,42,21,16.11
130,Makakilo City,US,2022-04-21 17:37:58,21.3469,-158.0858,72.19,79,20,8.05
131,Rovaniemi,FI,2022-04-21 17:37:58,66.5,25.7167,53.01,46,0,3.44
132,Hasaki,JP,2022-04-21 17:37:58,35.7333,140.8333,63.0,97,100,26.46
133,Faya,SA,2022-04-21 17:37:59,18.3851,42.4509,69.91,48,13,1.92
134,Mar Del Plata,AR,2022-04-21 17:37:59,-38.0023,-57.5575,66.22,49,0,10.36
135,Kralendijk,BQ,2022-04-21 17:37:59,12.15,-68.2667,85.98,66,75,13.8
136,Rabaul,PG,2022-04-21 17:37:59,-4.1967,152.1721,79.07,82,97,3.6
137,Jaynagar,IN,2022-04-21 17:38:00,26.5833,86.15,85.69,44,14,12.66
138,Mancio Lima,BR,2022-04-21 17:38:00,-7.6142,-72.8958,73.47,100,100,2.3
139,Qinggang,CN,2022-04-21 17:38:00,46.6833,126.0833,41.25,69,100,14.29
140,Provideniya,RU,2022-04-21 17:39:01,64.3833,-173.3,23.63,89,33,11.48
141,Andros Town,BS,2022-04-21 17:39:01,24.7,-77.7667,80.56,69,78,22.53
142,Yakeshi,CN,2022-04-21 17:39:01,49.2833,120.7333,32.52,33,14,3.13
143,Namatanai,PG,2022-04-21 17:39:02,-3.6667,152.4333,79.92,79,72,7.81
144,Goundam,ML,2022-04-21 17:39:02,16.4145,-3.6708,97.5,8,24,4.74
145,Newport,GB,2022-04-21 17:36:49,51.5877,-2.9984,64.94,78,78,16.22
146,Godda,IN,2022-04-21 17:39:02,24.8333,87.2167,83.52,59,1,7.81
147,Kortkeros,RU,2022-04-21 17:39:03,61.8106,51.5806,32.0,92,60,1.57
148,Spasskoye,RU,2022-04-21 17:39:03,44.6108,132.7969,50.0,58,82,9.44
149,Hay River,CA,2022-04-21 17:38:49,60.8156,-115.7999,31.98,47,20,3.44
150,Port Macquarie,AU,2022-04-21 17:39:04,-31.4333,152.9167,62.89,100,100,0.0
151,Mayenne,FR,2022-04-21 17:39:04,48.3333,-0.6667,63.84,75,50,6.8
152,Maryville,US,2022-04-21 17:35:24,35.7565,-83.9705,76.68,53,75,19.57
153,Anloga,GH,2022-04-21 17:39:05,5.7947,0.8973,83.61,74,95,10.92
154,Rio Grande,BR,2022-04-21 17:39:05,-32.035,-52.0986,87.91,52,81,5.75
155,Dwarka,IN,2022-04-21 17:39:05,22.2394,68.9678,80.56,84,12,13.56
156,Yaan,NG,2022-04-21 17:39:06,7.3833,8.5667,90.99,45,86,4.99
157,Obera,AR,2022-04-21 17:39:06,-27.4871,-55.1199,81.55,48,100,2.53
158,Hirara,JP,2022-04-21 17:39:06,24.8,125.2833,76.32,87,4,6.98
159,Vestmannaeyjar,IS,2022-04-21 17:39:07,63.4427,-20.2734,49.19,87,40,19.57
160,Hamilton,US,2022-04-21 17:39:07,39.1834,-84.5333,60.85,87,100,16.11
161,South Lake Tahoe,US,2022-04-21 17:34:15,38.9332,-119.9844,39.25,81,100,18.41
162,Te Anau,NZ,2022-04-21 17:39:08,-45.4167,167.7167,44.15,96,100,1.99
163,San Policarpo,PH,2022-04-21 17:39:08,12.1791,125.5072,81.45,82,11,10.83
164,Totness,SR,2022-04-21 17:39:08,5.8833,-56.3167,78.73,84,100,6.11
165,Tha Chang,TH,2022-04-21 17:39:09,9.2642,99.1922,83.21,85,95,4.27
166,Norman Wells,CA,2022-04-21 17:39:09,65.282,-126.8329,23.04,50,20,10.36
167,Caravelas,BR,2022-04-21 17:39:09,-17.7125,-39.2481,81.61,59,24,8.84
168,Port Alfred,ZA,2022-04-21 17:39:10,-33.5906,26.891,67.17,73,74,4.0
169,Dunedin,NZ,2022-04-21 17:39:10,-45.8742,170.5036,51.8,76,100,21.0
170,Yulara,AU,2022-04-21 17:39:10,-25.2406,130.9889,62.44,36,75,6.91
171,Zhongshu,CN,2022-04-21 17:39:11,24.5167,103.7667,55.33,91,24,5.41
172,Were Ilu,ET,2022-04-21 17:39:11,10.6,39.4333,57.76,53,43,8.1
173,Yining,CN,2022-04-21 17:39:11,29.0361,114.5636,63.82,84,98,2.15
174,Hanstholm,DK,2022-04-21 17:39:12,57.1167,8.6167,56.62,72,3,16.44
175,Sogne,NO,2022-04-21 17:39:12,58.0833,7.8167,61.16,60,15,11.97
176,Kaitangata,NZ,2022-04-21 17:39:12,-46.2817,169.8464,47.39,93,100,9.62
177,Zlobin,HR,2022-04-21 17:39:13,45.2924,14.6541,49.15,79,75,2.3
178,Chuy,UY,2022-04-21 17:35:17,-33.6971,-53.4616,78.58,45,54,7.29
179,Alofi,NU,2022-04-21 17:39:13,-19.0595,-169.9187,73.29,94,100,5.75
180,Amapa,BR,2022-04-21 17:39:14,1.0,-52.0,74.88,98,100,1.19
181,Zhangzhou,CN,2022-04-21 17:39:14,24.5133,117.6556,67.93,91,72,0.51
182,Tuatapere,NZ,2022-04-21 17:39:14,-46.1333,167.6833,48.47,82,100,13.58
183,Vila Velha,BR,2022-04-21 17:39:14,-20.3297,-40.2925,82.35,71,0,11.5
184,Yellowknife,CA,2022-04-21 17:35:01,62.456,-114.3525,27.12,46,20,6.91
185,Jalna,IN,2022-04-21 17:39:15,19.8333,75.8833,91.08,22,53,14.85
186,Maltahohe,NA,2022-04-21 17:40:15,-24.8333,16.9833,69.96,28,29,10.36
187,Bengkulu,ID,2022-04-21 17:40:16,-3.8004,102.2655,77.18,88,100,6.33
188,Khandyga,RU,2022-04-21 17:40:16,62.6667,135.6,11.12,98,96,1.83
189,Antofagasta,CL,2022-04-21 17:40:16,-23.65,-70.4,65.48,74,35,10.0
190,Paamiut,GL,2022-04-21 17:35:43,61.994,-49.6678,34.7,83,99,37.94
191,Bethel,US,2022-04-21 17:40:17,41.3712,-73.414,61.65,45,0,18.41
192,San Patricio,US,2022-04-21 17:40:17,28.017,-97.5169,84.07,61,64,19.98
193,Boa Vista,BR,2022-04-21 17:40:17,2.8197,-60.6733,78.78,78,75,5.75
194,La Ronge,CA,2022-04-21 17:40:18,55.1001,-105.2842,37.62,37,40,9.22
195,Qiyang,CN,2022-04-21 17:40:18,26.5911,111.8474,68.65,88,99,3.89
196,Jiayuguan,CN,2022-04-21 17:40:18,39.8167,98.3,51.48,18,82,11.1
197,Durban,ZA,2022-04-21 17:37:39,-29.8579,31.0292,72.01,92,25,1.99
198,Mushie,CD,2022-04-21 17:40:19,-3.0167,16.9,74.97,87,99,2.57
199,Katsuura,JP,2022-04-21 17:40:19,35.1333,140.3,66.22,89,100,38.59
200,Bambous Virieux,MU,2022-04-21 17:40:19,-20.3428,57.7575,79.05,78,40,9.22
201,Half Moon Bay,US,2022-04-21 17:39:42,37.4636,-122.4286,62.46,77,75,6.91
202,Mahon,ES,2022-04-21 17:40:20,39.8885,4.2658,52.36,93,75,18.41
203,Wanning,CN,2022-04-21 17:40:20,18.8003,110.3967,75.15,93,17,2.51
204,Lasa,IT,2022-04-21 17:40:20,46.6166,10.7002,52.68,95,93,3.8
205,Iquitos,PE,2022-04-21 17:40:21,-3.7481,-73.2472,84.24,74,75,6.91
206,Kafue,ZM,2022-04-21 17:40:21,-15.7691,28.1814,61.81,98,89,4.41
207,Sangar,RU,2022-04-21 17:40:21,63.9242,127.4739,12.51,94,97,3.53
208,Touros,BR,2022-04-21 17:40:22,-5.1989,-35.4608,85.17,66,72,13.65
209,Simbahan,PH,2022-04-21 17:40:22,6.3032,120.5836,81.66,78,85,0.47
210,Nome,US,2022-04-21 17:36:57,64.5011,-165.4064,32.07,59,0,8.05
211,Ambon,ID,2022-04-21 17:40:23,-3.6954,128.1814,75.34,94,20,3.44
212,Kokkarion,GR,2022-04-21 17:40:23,37.7764,26.8939,62.38,79,20,4.61
213,Hauterive,FR,2022-04-21 17:40:23,46.0901,3.4459,65.16,77,98,5.44
214,Awjilah,LY,2022-04-21 17:40:23,29.1081,21.2869,79.74,13,62,10.65
215,Petawawa,CA,2022-04-21 17:40:24,45.9001,-77.3328,44.78,92,100,9.22
216,Kousseri,CM,2022-04-21 17:40:24,12.0769,15.0306,98.08,12,39,6.4
217,Port Pirie,AU,2022-04-21 17:40:24,-33.1833,138.0167,59.09,57,5,6.69
218,Alyangula,AU,2022-04-21 17:40:25,-13.8483,136.4192,71.47,100,20,0.0
219,Ballina,AU,2022-04-21 17:40:25,-28.8667,153.5667,61.02,100,14,3.44
220,Kintinku,TZ,2022-04-21 17:40:25,-5.8833,35.2333,77.38,56,97,5.91
221,Marly,FR,2022-04-21 17:40:26,50.3456,3.5496,66.22,60,75,11.25
222,Beringovskiy,RU,2022-04-21 17:40:26,63.05,179.3167,23.43,97,100,4.59
223,Sitka,US,2022-04-21 17:40:26,57.0531,-135.33,42.69,65,20,3.44
224,Pangnirtung,CA,2022-04-21 17:40:27,66.1451,-65.7125,17.6,57,20,5.75
225,Pevek,RU,2022-04-21 17:40:27,69.7008,170.3133,9.73,95,65,8.63
226,Saint-Joseph,RE,2022-04-21 17:40:27,-21.3667,55.6167,77.38,85,28,11.16
227,Talnakh,RU,2022-04-21 17:40:27,69.4865,88.3972,7.81,79,89,1.95
228,Hovd,MN,2022-04-21 17:40:28,48.0056,91.6419,46.54,38,96,13.35
229,Santa Maria,BR,2022-04-21 17:40:28,-29.6842,-53.8069,78.1,53,0,6.91
230,Nanzhou,CN,2022-04-21 17:40:28,29.3596,112.4024,66.92,83,100,7.96
231,Avera,US,2022-04-21 17:40:29,33.194,-82.5271,74.37,51,93,7.45
232,Kanata,CA,2022-04-21 17:40:14,45.3159,-75.8985,51.84,78,100,14.0
233,Port Moresby,PG,2022-04-21 17:37:41,-9.4431,147.1797,74.62,94,40,5.75
234,Zyryanka,RU,2022-04-21 17:41:29,65.75,150.85,8.01,97,100,3.13
235,Asau,RO,2022-04-21 17:41:29,46.4333,26.4,49.28,56,56,4.81
236,Skibbereen,IE,2022-04-21 17:41:30,51.55,-9.2667,54.1,87,98,17.38
237,Mansa,IN,2022-04-21 17:41:30,29.9833,75.3833,80.92,34,49,7.0
238,Rabo De Peixe,PT,2022-04-21 17:41:30,37.8,-25.5833,58.51,63,20,14.97
239,Komsomolskiy,UZ,2022-04-21 17:41:31,40.4272,71.7189,63.32,72,75,4.61
240,Castro,BR,2022-04-21 17:41:31,-24.7911,-50.0119,75.09,52,7,4.23
241,Kampong Thum,KH,2022-04-21 17:41:31,12.7111,104.8887,79.5,82,97,0.76
242,Jiwani,PK,2022-04-21 17:41:32,25.05,61.7417,79.74,81,0,6.08
243,Kautokeino,NO,2022-04-21 17:41:32,69.0125,23.0412,34.21,99,100,3.8
244,Lebu,CL,2022-04-21 17:41:32,-37.6167,-73.65,54.23,98,100,17.6
245,Chekmagush,RU,2022-04-21 17:41:32,55.1319,54.6556,35.31,65,75,11.9
246,Tazovskiy,RU,2022-04-21 17:41:33,67.4667,78.7,-5.04,100,90,5.95
247,Bakhmach,UA,2022-04-21 17:41:33,51.1808,32.7569,42.4,89,84,10.56
248,Ijuin,JP,2022-04-21 17:41:33,31.6167,130.4,61.92,85,63,7.23
249,Chyhyryn,UA,2022-04-21 17:41:34,49.0838,32.6555,44.19,88,96,13.31
250,Villazon,BO,2022-04-21 17:41:34,-22.0866,-65.5942,64.83,8,36,7.7
251,Fenelon Falls,CA,2022-04-21 17:41:34,44.5334,-78.7496,48.56,94,100,16.62
252,Victor Harbor,AU,2022-04-21 17:41:35,-35.5667,138.6167,60.01,78,87,12.5
253,Palmetto,US,2022-04-21 17:41:35,27.5214,-82.5723,86.02,41,20,14.97
254,Hambantota,LK,2022-04-21 17:41:35,6.1241,81.1185,80.02,85,59,7.56
255,Toora-Khem,RU,2022-04-21 17:41:35,52.4675,96.11,33.75,87,100,1.72
256,Xichang,CN,2022-04-21 17:41:36,27.8964,102.2634,58.33,85,67,1.12
257,Baghdad,IQ,2022-04-21 17:38:48,33.3406,44.4009,76.91,13,0,10.36
258,Ahipara,NZ,2022-04-21 17:41:36,-35.1667,173.1667,65.17,93,48,5.19
259,Vaxjo,SE,2022-04-21 17:41:36,56.8777,14.8091,55.45,44,0,14.97
260,Bow Island,CA,2022-04-21 17:41:37,49.8668,-111.3684,39.47,52,100,23.02
261,Airai,TL,2022-04-21 17:41:37,-8.9266,125.4092,59.4,90,96,2.98
262,Bolkhov,RU,2022-04-21 17:41:37,53.4433,36.0044,43.32,72,43,6.78
263,Georgetown,MY,2022-04-21 17:41:38,5.4112,100.3354,84.13,88,20,5.99
264,Jalu,LY,2022-04-21 17:41:38,29.0331,21.5482,79.93,14,75,10.45
265,Nova Granada,BR,2022-04-21 17:41:38,-20.5339,-49.3142,88.05,33,7,2.13
266,Loknya,RU,2022-04-21 17:41:39,56.83,30.1467,43.39,85,91,8.88
267,Ribeira Grande,PT,2022-04-21 17:41:39,38.5167,-28.7,59.4,63,20,17.27
268,Muros,ES,2022-04-21 17:41:39,42.7762,-9.0603,56.16,90,100,11.74
269,Cayenne,GF,2022-04-21 17:41:40,4.9333,-52.3333,75.09,1,100,3.44
270,Amahai,ID,2022-04-21 17:41:40,-3.3333,128.9167,79.77,85,100,2.86
271,Kununurra,AU,2022-04-21 17:41:40,-15.7667,128.7333,69.78,88,68,0.0
272,Adrar,MR,2022-04-21 17:41:40,20.5022,-10.0711,88.41,7,34,15.55
273,Porto Novo,BJ,2022-04-21 17:41:41,6.4965,2.6036,84.02,75,96,6.76
274,Roald,NO,2022-04-21 17:41:41,62.5833,6.1333,59.92,81,0,20.71
275,Hofn,IS,2022-04-21 17:41:41,64.2539,-15.2082,47.86,78,5,7.23
276,Carutapera,BR,2022-04-21 17:41:42,-1.195,-46.02,84.34,71,55,7.47
277,Qaqortoq,GL,2022-04-21 17:41:42,60.7167,-46.0333,36.21,84,100,14.43
278,Fleetwood,GB,2022-04-21 17:36:58,53.9253,-3.0109,60.85,44,0,19.57
279,Fortuna,US,2022-04-21 17:41:42,40.5982,-124.1573,56.93,76,100,13.8
280,Nakamura,JP,2022-04-21 17:42:43,32.9833,132.9333,56.95,97,56,4.29
281,Baykit,RU,2022-04-21 17:42:43,61.67,96.37,21.22,98,100,3.67
282,Khor,RU,2022-04-21 17:42:43,47.8861,134.9464,53.26,60,100,1.39
283,Jiangyou,CN,2022-04-21 17:42:44,31.7667,104.7167,65.97,66,59,4.14
284,Fort Saint James,CA,2022-04-21 17:42:44,54.4333,-124.25,43.32,49,83,1.7
285,Zemio,CF,2022-04-21 17:42:44,5.0314,25.1361,68.72,95,100,6.6
286,Pakala,IN,2022-04-21 17:42:45,13.4667,79.1167,82.81,79,22,6.71
287,Montrose,US,2022-04-21 17:42:10,38.4166,-108.2673,62.01,21,9,23.38
288,Palmer,US,2022-04-21 17:42:45,42.1584,-72.3287,62.02,30,75,23.02
289,Ostrovnoy,RU,2022-04-21 17:42:45,68.0531,39.5131,34.75,97,100,11.92
290,Fallon,US,2022-04-21 17:42:46,39.4735,-118.7774,52.45,46,75,12.66
291,Cabo San Lucas,MX,2022-04-21 17:42:28,22.8909,-109.9124,81.61,73,0,4.0
292,Monrovia,LR,2022-04-21 17:41:30,6.3005,-10.7969,87.57,75,100,10.0
293,Shimoda,JP,2022-04-21 17:42:46,34.6667,138.95,59.11,94,100,12.26
294,Beloha,MG,2022-04-21 17:42:47,-25.1667,45.05,72.25,83,92,18.19
